Problem Type	Solution Method	Vehicle Capacity (Weight)	Vehicle Capacity(Volume)	Disposal Trips	Route Time	Route Time wo Turns	Computational Time(Sec)	Clustering Time(Sec)	VA(NHO)	VA(ATD)	VA(CCI)	VA(DMT)	VA(ROI)	VA(AOI)	Optimal
MCARPTIF-TP	WJ19	35200	48000	2	34035	25335	1.6728	0	0.543429	449.322	1.02857	27274.1	0.371684	0.697028	0
Load No	Sequence No	From Node ID	To Node ID	IsEdge	Required	Weight	Volume	Travel Miles	Travel Time	Service Time	Served	Dumped	Turn Type	Turn Cost	Depart Time	Arrival Time	Shape
0	0	407	54	0	0	0	0	0.0	959.0	0.0	0	0		0	0.0	959.0	LINESTRING(-95.453251 30.113294,-95.451767 30.112762,-95.451636 30.112773,-95.451460 30.112816,-95.450718 30.113096,-95.450464 30.113192,-95.449457 30.116066,-95.449474 30.117754,-95.449424 30.119487,-95.448442 30.119485,-95.447724 30.119486,-95.446295 30.119482,-95.445954 30.119481,-95.445853 30.119479,-95.445373 30.119474,-95.445025 30.119470,-95.444731 30.119466,-95.444458 30.119463,-95.444276 30.119461,-95.444140 30.119460,-95.443225 30.119452,-95.442806 30.119447,-95.442494 30.119448,-95.442233 30.119456,-95.442029 30.119506,-95.441860 30.119102,-95.441618 30.118579,-95.441455 30.118263,-95.441213 30.117857,-95.439914 30.116067,-95.439861 30.116001,-95.438115 30.113665,-95.437837 30.113750,-95.437516 30.113884,-95.437265 30.113993,-95.437175 30.114146,-95.438544 30.115789,-95.439205 30.116595,-95.439322 30.116741,-95.439857 30.117428,-95.440578 30.118556,-95.441262 30.119937,-95.441283 30.119995,-95.441564 30.120881,-95.442182 30.122650,-95.442650 30.124830,-95.442994 30.126578,-95.443021 30.126718,-95.443050 30.126856,-95.443058 30.126906,-95.443083 30.127002,-95.443214 30.127668,-95.443782 30.130474,-95.443830 30.130710,-95.443897 30.131044,-95.444370 30.133365,-95.445051 30.136713,-95.445102 30.136974,-95.445237 30.137663,-95.445703 30.140097,-95.446327 30.143182,-95.446475 30.143835,-95.446573 30.144282,-95.446612 30.144461,-95.446662 30.144693,-95.446952 30.146108,-95.447057 30.146633,-95.447100 30.146861,-95.447371 30.148183,-95.447487 30.148860,-95.447557 30.149178,-95.447787 30.150163,-95.448163 30.151977,-95.448250 30.152379,-95.449167 30.156931,-95.449179 30.156997,-95.449192 30.157062,-95.449206 30.157145,-95.449324 30.157779,-95.449776 30.160041,-95.449821 30.160292,-95.449850 30.160457,-95.449923 30.160956,-95.450329 30.164228,-95.450488 30.165902,-95.450588 30.166889,-95.450618 30.167221,-95.450643 30.167465,-95.450827 30.169432,-95.450877 30.169925,-95.451225 30.173624,-95.451502 30.176651,-95.451588 30.177576,-95.451625 30.177963,-95.451628 30.178012,-95.451638 30.178106,-95.451663 30.178372,-95.451671 30.178508,-95.451768 30.179421,-95.451978 30.181607,-95.452160 30.183387,-95.452407 30.185836,-95.452535 30.186964,-95.452572 30.187287,-95.452886 30.189361,-95.452956 30.189795,-95.453134 30.190839,-95.453262 30.191470,-95.453759 30.193919,-95.454020 30.195253,-95.454387 30.197043,-95.454540 30.197761,-95.454577 30.197938,-95.454611 30.198099,-95.454934 30.200347,-95.455512 30.203676,-95.455618 30.204682,-95.455759 30.205605,-95.455931 30.206023,-95.456067 30.206241,-95.456293 30.206529,-95.456504 30.206738,-95.456588 30.206807,-95.456620 30.206837,-95.456906 30.207042,-95.457178 30.207192,-95.457957 30.207474,-95.458116 30.207498,-95.458206 30.207512,-95.458331 30.207528,-95.459116 30.207524,-95.459965 30.207465,-95.460197 30.207449,-95.460526 30.207429,-95.460762 30.207419,-95.460914 30.207414,-95.461799 30.207390,-95.462371 30.207378,-95.462919 30.207359,-95.463319 30.207349,-95.463499 30.207359,-95.463951 30.207338,-95.464084 30.207308,-95.464508 30.207210,-95.464813 30.207202,-95.465113 30.207195,-95.466591 30.207128,-95.467114 30.207096,-95.467264 30.207087,-95.468126 30.207032,-95.470004 30.206911,-95.470268 30.206893,-95.471278 30.206826,-95.471887 30.206786,-95.472010 30.206778,-95.472278 30.206763,-95.473696 30.206671,-95.474079 30.206646,-95.474409 30.206625,-95.474725 30.206604,-95.475525 30.206552,-95.475691 30.206539,-95.476323 30.206501,-95.477146 30.206432,-95.478645 30.206150,-95.478724 30.206125,-95.478774 30.206107,-95.480075 30.205504,-95.480711 30.205123,-95.481197 30.204830,-95.481777 30.204486,-95.482010 30.204355,-95.482075 30.204320,-95.482147 30.204280,-95.482422 30.204121,-95.482489 30.204082,-95.484756 30.202870,-95.486384 30.202491,-95.486531 30.202479,-95.487362 30.202466,-95.488154 30.202554,-95.488284 30.202575,-95.489825 30.203050,-95.491451 30.203694,-95.491516 30.203720,-95.491557 30.203736,-95.493711 30.204588,-95.494501 30.204915,-95.496138 30.205819,-95.497810 30.207106,-95.498607 30.207922,-95.498835 30.208188,-95.499563 30.209164,-95.499741 30.209445,-95.499958 30.209796,-95.500172 30.210154)
0	1	54	53	0	0	0	0	0.0	1.1	0.0	0	0	Straight	0	959.0	960.1	LINESTRING(-95.500172 30.210154,-95.500242 30.210281)
0	2	53	50	0	0	0	0	0.0	1.9	0.0	0	0	Left	25	985.1	987.0	LINESTRING(-95.500242 30.210281,-95.500337 30.210241,-95.500450 30.210193)
0	3	50	401	0	0	0	0	0.0	2.8	0.0	0	0	Straight	0	987.0	989.8	LINESTRING(-95.500450 30.210193,-95.500778 30.210047)
0	4	401	57	0	0	0	0	0.0	1.4	0.0	0	0	Straight	0	989.8	991.2	LINESTRING(-95.500778 30.210047,-95.500958 30.209967)
0	5	57	382	0	0	0	0	0.0	1.2	0.0	0	0	Straight	0	991.2	992.4	LINESTRING(-95.500958 30.209967,-95.501128 30.209889)
0	6	382	35	0	0	0	0	0.0	2.3	0.0	0	0	Straight	0	992.4	994.7	LINESTRING(-95.501128 30.209889,-95.501161 30.209875,-95.501484 30.209731)
0	7	35	122	0	0	0	0	0.0	6.0	0.0	0	0	Straight	0	994.7	1000.7	LINESTRING(-95.501484 30.209731,-95.502249 30.209374,-95.502484 30.209249)
0	8	122	121	0	1	18	45	0.0	9.9	14.9	1	0	Right	5	1005.7	1020.6	LINESTRING(-95.502484 30.209249,-95.502611 30.209459,-95.502677 30.209622,-95.502705 30.209775,-95.502699 30.209904)
0	9	121	119	0	1	126	315	0.0	36.6	71.6	1	0	Right	5	1025.6	1097.2	LINESTRING(-95.502699 30.209904,-95.502578 30.209904,-95.502445 30.209914,-95.502279 30.209957,-95.502124 30.210033,-95.502019 30.210134,-95.501969 30.210292)
