Problem Type	Solution Method	Vehicle Capacity (Weight)	Vehicle Capacity(Volume)	Disposal Trips	Route Time	Route Time wo Turns	Computational Time(Sec)	Clustering Time(Sec)	VA(NHO)	VA(ATD)	VA(CCI)	VA(DMT)	VA(ROI)	VA(AOI)	Optimal
MCARPTIF-TP	WJ19	17600	24000	3	43544.5	33664.5	1.42254	0	0.569834	617.98	1.24324	35962.6	2.49451	1.44576	0
Load No	Sequence No	From Node ID	To Node ID	IsEdge	Required	Weight	Volume	Travel Miles	Travel Time	Service Time	Served	Dumped	Turn Type	Turn Cost	Depart Time	Arrival Time	Shape
0	0	287	245	0	0	0	0	0.0	1266.7	0.0	0	0		0	0.0	1266.7	LINESTRING(-95.453251 30.113294,-95.451767 30.112762,-95.451636 30.112773,-95.451460 30.112816,-95.450718 30.113096,-95.450464 30.113192,-95.449457 30.116066,-95.449474 30.117754,-95.449424 30.119487,-95.448442 30.119485,-95.447724 30.119486,-95.446295 30.119482,-95.445954 30.119481,-95.445853 30.119479,-95.445373 30.119474,-95.445025 30.119470,-95.444731 30.119466,-95.444458 30.119463,-95.444276 30.119461,-95.444140 30.119460,-95.443225 30.119452,-95.442806 30.119447,-95.442494 30.119448,-95.442233 30.119456,-95.442029 30.119506,-95.441860 30.119102,-95.441618 30.118579,-95.441455 30.118263,-95.441213 30.117857,-95.439914 30.116067,-95.439861 30.116001,-95.438115 30.113665,-95.437837 30.113750,-95.437516 30.113884,-95.437265 30.113993,-95.437175 30.114146,-95.438544 30.115789,-95.439205 30.116595,-95.439322 30.116741,-95.439857 30.117428,-95.440578 30.118556,-95.441262 30.119937,-95.441283 30.119995,-95.441564 30.120881,-95.442182 30.122650,-95.442650 30.124830,-95.442994 30.126578,-95.443021 30.126718,-95.443050 30.126856,-95.443058 30.126906,-95.443083 30.127002,-95.443214 30.127668,-95.443782 30.130474,-95.443830 30.130710,-95.443897 30.131044,-95.444370 30.133365,-95.445051 30.136713,-95.445102 30.136974,-95.445237 30.137663,-95.445703 30.140097,-95.446327 30.143182,-95.446475 30.143835,-95.446573 30.144282,-95.446612 30.144461,-95.446662 30.144693,-95.446952 30.146108,-95.447057 30.146633,-95.447100 30.146861,-95.447371 30.148183,-95.447487 30.148860,-95.447557 30.149178,-95.447787 30.150163,-95.448163 30.151977,-95.448250 30.152379,-95.449167 30.156931,-95.449179 30.156997,-95.449192 30.157062,-95.449206 30.157145,-95.449324 30.157779,-95.449776 30.160041,-95.449821 30.160292,-95.449850 30.160457,-95.449923 30.160956,-95.450329 30.164228,-95.450488 30.165902,-95.450588 30.166889,-95.450618 30.167221,-95.450643 30.167465,-95.450827 30.169432,-95.450877 30.169925,-95.451225 30.173624,-95.451502 30.176651,-95.451588 30.177576,-95.451625 30.177963,-95.451628 30.178012,-95.451638 30.178106,-95.451663 30.178372,-95.451671 30.178508,-95.451768 30.179421,-95.451978 30.181607,-95.452160 30.183387,-95.452407 30.185836,-95.452535 30.186964,-95.452572 30.187287,-95.452886 30.189361,-95.452956 30.189795,-95.453134 30.190839,-95.453262 30.191470,-95.453759 30.193919,-95.454020 30.195253,-95.454387 30.197043,-95.454540 30.197761,-95.454577 30.197938,-95.454611 30.198099,-95.454783 30.199042,-95.455694 30.203683,-95.455785 30.204454,-95.455804 30.204687,-95.455839 30.205035,-95.455931 30.206023,-95.455965 30.206422,-95.455994 30.206727,-95.456035 30.207132,-95.456041 30.207201,-95.456043 30.207259,-95.456072 30.207545,-95.456078 30.207601,-95.456091 30.207739,-95.456109 30.207919,-95.456239 30.209609,-95.456478 30.211996,-95.456844 30.215936,-95.456854 30.216061,-95.457108 30.218906,-95.457200 30.220141,-95.457314 30.221392,-95.457330 30.221594,-95.457713 30.225879,-95.457758 30.226382,-95.457792 30.226759,-95.457829 30.227306,-95.457774 30.229783,-95.457817 30.230252,-95.457986 30.232088,-95.458073 30.233026,-95.458124 30.233552,-95.458231 30.234672,-95.458259 30.234966,-95.458277 30.236146,-95.458235 30.236656,-95.458233 30.236751,-95.458207 30.237130,-95.458144 30.237294,-95.458101 30.237464,-95.457947 30.237614,-95.457572 30.236758,-95.458094 30.236756,-95.458233 30.236751,-95.458393 30.236747,-95.458454 30.236745,-95.458528 30.236746,-95.458699 30.236745,-95.458838 30.236742,-95.458930 30.236740,-95.459188 30.236735,-95.459229 30.236733,-95.459482 30.236726,-95.459734 30.236722,-95.461524 30.236697,-95.461682 30.236694,-95.462135 30.236689,-95.462674 30.236681,-95.462764 30.236679,-95.463000 30.236675,-95.463329 30.236670,-95.463527 30.236667,-95.463603 30.236667,-95.464376 30.236667,-95.465668 30.236660,-95.465977 30.236658,-95.466523 30.236641,-95.466637 30.236639,-95.467125 30.236643,-95.467251 30.236643,-95.467866 30.236648,-95.468743 30.236655,-95.469161 30.236648,-95.469295 30.236650,-95.470237 30.236597,-95.470607 30.236554,-95.470726 30.236539,-95.470905 30.236516,-95.472931 30.236224,-95.474495 30.235989,-95.474649 30.235966,-95.476227 30.235728,-95.477697 30.235507,-95.478096 30.235448,-95.478829 30.235338,-95.480507 30.235086,-95.480693 30.235056,-95.481320 30.234960,-95.481730 30.234893,-95.482308 30.234789,-95.488062 30.233598,-95.489727 30.233230,-95.490417 30.233083,-95.490928 30.232969,-95.493952 30.232301,-95.494556 30.232183,-95.497064 30.231774,-95.497980 30.231637,-95.498851 30.231516,-95.499809 30.231371,-95.500182 30.231314,-95.501325 30.231103,-95.502062 30.230998,-95.502180 30.230982,-95.503111 30.230853,-95.504080 30.230728,-95.504432 30.230681,-95.505359 30.230568,-95.505723 30.230529,-95.507567 30.230288,-95.508567 30.230074,-95.508793 30.229971,-95.509734 30.229839,-95.510358 30.229747,-95.511442 30.229585,-95.511688 30.229566,-95.512221 30.229490,-95.513874 30.229212,-95.514459 30.229108,-95.515225 30.228960,-95.516376 30.228722,-95.516839 30.228627,-95.517746 30.228440,-95.518135 30.228361,-95.518757 30.228241,-95.519542 30.228091,-95.520715 30.227866,-95.521198 30.227793,-95.521409 30.227745,-95.522531 30.227515,-95.522931 30.227438,-95.524412 30.227141,-95.526036 30.226848,-95.527365 30.226607,-95.530303 30.226144,-95.530940 30.226046,-95.533656 30.225623,-95.533806 30.225600,-95.535802 30.225291,-95.538141 30.224924,-95.539946 30.224642,-95.541392 30.224431)
0	1	245	156	0	0	0	0	0.0	0.9	0.0	0	0	Straight	0	1266.7	1267.6	LINESTRING(-95.541392 30.224431,-95.541545 30.224419)
0	2	156	157	0	0	0	0	0.0	4.6	0.0	0	0	Straight	0	1267.6	1272.2	LINESTRING(-95.541545 30.224419,-95.541719 30.224409,-95.541970 30.224401,-95.542372 30.224393)
0	3	157	158	0	0	0	0	0.0	2.0	0.0	0	0	Straight	0	1272.2	1274.2	LINESTRING(-95.542372 30.224393,-95.542773 30.224391)
0	4	158	16	0	0	0	0	0.0	4.3	0.0	0	0	Straight	0	1274.2	1278.5	LINESTRING(-95.542773 30.224391,-95.543661 30.224403)
0	5	16	264	0	0	0	0	0.0	4.2	0.0	0	0	Straight	0	1278.5	1282.7	LINESTRING(-95.543661 30.224403,-95.544559 30.224416)
0	6	264	165	0	1	18	45	0.0	2.8	7.8	1	0	Straight	0	1282.7	1290.5	LINESTRING(-95.544559 30.224416,-95.545160 30.224424)
0	7	165	164	0	1	18	45	0.0	10.4	15.4	1	0	Straight	0	1290.5	1305.9	LINESTRING(-95.545160 30.224424,-95.545693 30.224422,-95.546143 30.224414,-95.546569 30.224414,-95.547382 30.224403)
0	8	164	163	1	0	0	0	0.0	0.9	0.0	0	0	Straight	0	1305.9	1306.8	LINESTRING(-95.547382 30.224403,-95.547582 30.224404)
0	9	163	162	0	0	0	0	0.0	7.5	0.0	0	0	Straight	0	1306.8	1314.3	LINESTRING(-95.547582 30.224404,-95.548197 30.224396,-95.548872 30.224388,-95.549152 30.224377)
